"","minExpected","MinPlayed","Prob"
"229",13,2,0.018054
"230",13,3,0.02193
"231",13,4,0.026534
"232",13,5,0.031051
"233",13,6,0.036378
"234",13,7,0.041254
"235",13,8,0.046635
"236",13,9,0.05133
"237",13,10,0.05582
"238",13,11,0.059764
"239",13,12,0.062275
"240",13,13,0.06421
"241",13,14,0.063559
"242",13,15,0.062359
"243",13,16,0.059161
"244",13,17,0.054401
"245",13,18,0.049112
"246",13,19,0.042589
"247",13,20,0.035948
"248",13,21,0.029269
"249",13,22,0.022804
"250",13,23,0.017137
"251",13,24,0.012301
"252",13,25,0.008536
"253",13,26,0.005498
"254",13,27,0.003329
"255",13,28,0.00202
"256",13,29,0.000992
"257",13,30,0.000532
"258",13,31,0.000239
"259",13,32,9.7e-05
"260",13,33,4.1e-05
"261",13,34,9e-06
"262",13,35,3e-06
"263",13,36,1e-06
"264",14,1,0.009717
"265",14,2,0.012397
"266",14,3,0.015652
"267",14,4,0.019491
"268",14,5,0.023635
"269",14,6,0.028909
"270",14,7,0.033937
"271",14,8,0.039563
"272",14,9,0.045261
"273",14,10,0.050336
"274",14,11,0.05561
"275",14,12,0.060206
"276",14,13,0.063353
"277",14,14,0.065276
"278",14,15,0.065811
"279",14,16,0.064369
"280",14,17,0.061231
"281",14,18,0.056283
"282",14,19,0.050438
"283",14,20,0.04455
"284",14,21,0.036838
"285",14,22,0.028948
"286",14,23,0.022611
"287",14,24,0.016326
"288",14,25,0.01159
"289",14,26,0.007577
"290",14,27,0.004691
"291",14,28,0.002647
"292",14,29,0.00148
"293",14,30,0.000702
"294",14,31,0.000312
"295",14,32,0.000142
"296",14,33,8.5e-05
"297",14,34,1.6e-05
"298",14,35,8e-06
"299",14,36,2e-06
"300",15,1,0.006559
"301",15,2,0.008399
"302",15,3,0.011021
"303",15,4,0.014185
"304",15,5,0.017402
"305",15,6,0.022245
"306",15,7,0.026783
"307",15,8,0.032302
"308",15,9,0.038087
"309",15,10,0.044475
"310",15,11,0.050121
"311",15,12,0.055947
"312",15,13,0.060501
"313",15,14,0.064827
"314",15,15,0.067014
"315",15,16,0.067128
"316",15,17,0.065883
"317",15,18,0.062872
"318",15,19,0.05765
"319",15,20,0.051569
"320",15,21,0.044588
"321",15,22,0.036702
"322",15,23,0.029253
"323",15,24,0.022344
"324",15,25,0.015749
"325",15,26,0.010909
"326",15,27,0.006879
"327",15,28,0.004118
"328",15,29,0.002359
"329",15,30,0.00117
"330",15,31,0.00058
"331",15,32,0.000249
"332",15,33,9e-05
"333",15,34,2.6e-05
"334",15,35,1e-05
"335",15,36,4e-06
"336",16,1,0.004266
"337",16,2,0.005803
"338",16,3,0.007791
"339",16,4,0.010104
"340",16,5,0.013023
"341",16,6,0.016647
"342",16,7,0.021009
"343",16,8,0.025794
"344",16,9,0.031377
"345",16,10,0.037659
"346",16,11,0.043712
"347",16,12,0.049893
"348",16,13,0.055961
"349",16,14,0.061302
"350",16,15,0.065262
"351",16,16,0.067766
"352",16,17,0.068348
"353",16,18,0.067212
"354",16,19,0.06407
"355",16,20,0.059292
"356",16,21,0.052409
"357",16,22,0.045078
"358",16,23,0.036882
"359",16,24,0.028966
"360",16,25,0.021623
"361",16,26,0.015002
"362",16,27,0.010096
"363",16,28,0.006314
"364",16,29,0.003721
"365",16,30,0.001947
"366",16,31,0.001009
"367",16,32,0.000423
"368",16,33,0.000161
"369",16,34,5.7e-05
"370",16,35,1.7e-05
"371",16,36,4e-06
"372",17,1,0.002861
"373",17,2,0.004008
"374",17,3,0.005284
"375",17,4,0.007043
"376",17,5,0.009644
"377",17,6,0.012608
"378",17,7,0.015907
"379",17,8,0.020166
"380",17,9,0.025152
"381",17,10,0.03056
"382",17,11,0.036625
"383",17,12,0.043244
"384",17,13,0.049551
"385",17,14,0.055949
"386",17,15,0.061676
"387",17,16,0.066002
"388",17,17,0.069227
"389",17,18,0.069324
