"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"9613",3064230,"2025",401704812,20241118,"NY","C. Payne","PG",0,23,6,9,5,6,0,0,1,1,2,7,0,0,2,2,19,17,"","401704812_3064230",162,10,16.2,23,20241022,0,20241118
"9693",3064290,"2025",401704732,20241104,"DEN","A. Gordon","PF",1,4,1,2,1,2,0,0,0,0,0,1,0,0,1,1,1,3,"","401704732_3064290",212,7,30.2857142857143,4,20241024,0,20241104
"9741",3064440,"2025",401704810,20241118,"CHI","Z. LaVine","SG",1,35,9,19,7,14,0,0,0,6,6,5,1,0,1,0,24,25,"","401704810_3064440",411,12,34.25,35,20241023,0,20241118
"9769",3064447,"2025",401704814,20241118,"MIL","D. Wright","SG",0,23,2,4,2,4,0,0,1,3,4,2,1,0,1,1,-3,6,"","401704814_3064447",198,11,18,23,20241023,0,20241118
"9920",3064482,"2025",401704814,20241118,"MIL","B. Portis","F",0,21,4,9,1,1,2,2,0,4,4,1,0,1,1,1,-10,11,"","401704814_3064482",314,13,24.1538461538462,21,20241023,0,20241118
"9974",3064514,"2025",401704800,20241117,"MIN","J. Randle","PF",1,34,11,20,5,11,8,9,1,3,4,7,1,0,3,2,16,35,"","401704800_3064514",476,14,34,34,20241022,0,20241117
"10070",3064559,"2024",401658228,20240515,"CLE","D. Jones","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658228_3064559",NA,NA,6.8780487804878,2,20231025,0,20240515
"10165",3064560,"2025",401704796,20241116,"BOS","L. Kornet","C",0,17,2,3,0,0,0,0,3,3,6,3,1,0,1,2,7,4,"","401704796_3064560",218,13,16.7692307692308,17,20241022,0,20241116
"10212",3074213,"2024",401585826,20240414,"UTAH","O. Yurtseven","C",1,30,5,12,0,1,1,2,6,12,18,2,0,0,2,2,1,11,"","401585826_3074213",546,47,11.6170212765957,30,20231025,0,20240414
"10320",3074752,"2025",401704811,20241118,"MIA","T. Rozier","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704811_3074752",NA,NA,31.8333333333333,27,20241023,0,20241118
"10425",3078576,"2025",401704796,20241116,"BOS","D. White","PG",1,41,7,20,3,12,1,2,2,3,5,4,0,2,1,1,1,18,"","401704796_3078576",480,14,34.2857142857143,41,20241022,0,20241116
"10471",3102528,"2024",401656361,20240612,"DAL","D. Exum","G",0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-4,2,"","401656361_3102528",1210,73,16.5753424657534,3,20231025,0,20240612
"10550",3102529,"2025",401704816,20241118,"ATL","C. Capela","C",1,28,6,9,0,0,2,4,3,11,14,1,0,1,2,2,14,14,"","401704816_3102529",340,15,22.6666666666667,28,20241023,0,20241118
"10710",3102530,"2025",401704800,20241117,"PHX","J. Nurkic","C",1,14,2,5,1,3,0,0,2,5,7,1,0,0,1,3,1,5,"","401704800_3102530",307,13,23.6153846153846,14,20241023,0,20241117
"10774",3102531,"2025",401704796,20241116,"BOS","K. Porzingis","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704796_3102531",NA,NA,-1,-1,20241116,1,20241116
"10818",3102532,"2025",401704802,20241117,"CHA","V. Micic","G",0,14,3,4,3,4,0,0,0,0,0,2,0,0,1,2,2,9,"","401704802_3102532",74,5,14.8,14,20241023,0,20241117
"10967",3102533,"2024",401655116,20240502,"MIL","T. Antetokounmpo","SF",0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2,0,"","401655116_3102533",160,34,4.70588235294118,3,20231026,0,20240502
"11066",3112335,"2025",401704774,20241110,"DEN","N. Jokic","C",1,38,13,21,3,3,8,8,8,10,18,15,3,0,4,2,13,37,"","401704774_3112335",382,10,38.2,38,20241024,0,20241110
"11116",3133601,"2024",401585825,20240414,"SA","D. Graham","PG",0,19,4,8,4,7,0,0,0,1,1,2,0,0,3,0,4,12,"","401585825_3133601",314,23,13.6521739130435,19,20231025,0,20240414
"11241",3133602,"2025",401704809,20241117,"UTAH","S. Mykhailiuk","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704809_3133602",NA,NA,15,15,20241023,0,20241117
"11278",3133603,"2025",401704811,20241118,"PHI","K. Oubre Jr.","SG",0,27,3,8,1,4,1,1,0,5,5,1,1,0,2,1,4,8,"","401704811_3133603",400,13,30.7692307692308,27,20241023,0,20241118
"11434",3133626,"2025",401704808,20241117,"OKC","K. Williams","SF",0,18,2,6,0,2,2,2,0,4,4,2,2,0,1,4,0,6,"","401704808_3133626",53,4,13.25,18,20241111,0,20241117
"11530",3133628,"2025",401704813,20241118,"IND","M. Turner","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704813_3133628",NA,NA,32.8333333333333,40,20241023,0,20241118
"11561",3133635,"2025",401704810,20241118,"CHI","J. Carter","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704810_3133635",NA,NA,7,14,20241023,0,20241118
"11687",3133838,"2024",401585524,20240306,"MEM","Y. Watanabe","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585524_3133838",NA,NA,14.0909090909091,17,20231024,0,20240306
"11777",3134903,"2025",401704817,20241118,"GS","G. Payton II","SG",0,12,0,4,0,2,0,0,1,3,4,2,1,0,0,1,3,0,"","401704817_3134903",153,13,11.7692307692308,12,20241023,0,20241118
"11841",3134907,"2025",401704812,20241118,"WSH","K. Kuzma","SF",1,24,5,11,1,3,0,0,0,8,8,2,0,0,1,1,-18,11,"","401704812_3134907",223,8,27.875,24,20241024,0,20241118
"11861",3134908,"2025",401704813,20241118,"TOR","J. Poeltl","C",1,38,13,18,0,0,4,6,4,11,15,2,2,2,6,3,18,30,"","401704813_3134908",493,15,32.8666666666667,38,20241023,0,20241118
"11982",3134916,"2025",401704816,20241118,"SAC","J. McLaughlin","PG",0,20,2,3,1,1,3,4,0,2,2,4,0,0,0,0,8,8,"","401704816_3134916",118,12,9.83333333333333,20,20241024,0,20241118
"12080",3134932,"2025",401704804,20241117,"MEM","J. Konchar","SG",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"","401704804_3134932",NA,NA,18.3333333333333,11,20241023,0,20241117
"12158",3135045,"2025",401704815,20241118,"PHX","G. Allen","SG",0,29,5,10,4,9,3,7,0,4,4,1,0,0,4,4,-7,17,"","401704815_3135045",242,11,22,29,20241023,0,20241118
"12231",3135046,"2025",401704815,20241118,"PHX","T. Jones","PG",1,32,7,17,4,11,0,0,1,1,2,8,0,0,0,1,2,18,"","401704815_3135046",487,15,32.4666666666667,32,20241023,0,20241118
"12275",3135047,"2024",401585410,20240214,"TOR","J. Winslow","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585410_3135047",NA,NA,-1,-1,20240210,0,20240214
"12299",3136193,"2025",401704815,20241118,"PHX","D. Booker","SG",1,38,5,14,1,7,6,6,0,2,2,5,1,0,2,5,-5,17,"","401704815_3136193",549,15,36.6,38,20241023,0,20241118
"12367",3136195,"2025",401704812,20241118,"NY","K. Towns","C",1,25,8,14,3,4,5,5,1,11,12,3,0,0,0,1,22,24,"","401704812_3136195",427,13,32.8461538461538,25,20241022,0,20241118
"12505",3136196,"2025",401704816,20241118,"SAC","T. Lyles","PF",1,38,4,11,3,7,1,2,4,6,10,4,1,0,0,2,-4,12,"","401704816_3136196",311,15,20.7333333333333,38,20241024,0,20241118
"12539",3136491,"2024",401655110,20240502,"PHI","D.J. Wilson","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655110_3136491",NA,NA,8,14,20240324,0,20240502
"12597",3136776,"2025",401704797,20241116,"LAL","D. Russell","PG",0,21,2,5,1,3,2,2,0,1,1,5,1,0,3,3,9,7,"","401704797_3136776",362,13,27.8461538461538,21,20241022,0,20241116
"12664",3136777,"2025",401704814,20241118,"HOU","J. Tate","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704814_3136777",NA,NA,4,6,20241023,0,20241118
"12778",3136779,"2024",401585647,20240323,"BKN","K. Bates-Diop","SF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"","401585647_3136779",670,53,12.6415094339623,2,20231024,0,20240323
"12810",3137259,"2025",401704797,20241116,"LAL","G. Vincent","PG",0,22,0,2,0,2,0,0,1,1,2,2,0,0,0,1,-9,0,"","401704797_3137259",237,13,18.2307692307692,22,20241022,0,20241116
"12835",3138156,"2024",401672978,20240526,"MIN","J. Jackson","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401672978_3138156",NA,NA,-1,-1,20240223,0,20240526
"12917",3138160,"2025",401704811,20241118,"PHI","C. Martin","SF",1,29,5,12,2,6,0,0,1,4,5,0,2,1,0,1,-24,12,"","401704811_3138160",438,13,33.6923076923077,29,20241023,0,20241118
"12964",3138161,"2025",401704802,20241117,"CHA","C. Martin","SF",0,25,2,8,0,3,1,2,5,1,6,2,2,3,1,2,-2,5,"","401704802_3138161",317,13,24.3846153846154,25,20241023,0,20241117
"13035",3138196,"2025",401704806,20241117,"BKN","C. Johnson","SF",1,31,7,12,4,7,4,4,0,5,5,5,0,0,0,1,4,22,"","401704806_3138196",464,14,33.1428571428571,31,20241023,0,20241117
"13127",3146557,"2025",401704814,20241118,"HOU","J. Landale","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704814_3146557",NA,NA,11.2,16,20241023,0,20241118
"13147",3147657,"2025",401704812,20241118,"NY","M. Bridges","SF",1,35,7,14,0,4,0,0,2,1,3,5,0,0,2,1,32,14,"","401704812_3147657",540,14,38.5714285714286,35,20241022,0,20241118
"13348",3149673,"2025",401704813,20241118,"IND","P. Siakam","PF",1,39,9,20,1,3,6,8,6,4,10,5,1,0,0,2,-12,25,"","401704813_3149673",479,14,34.2142857142857,39,20241023,0,20241118
"13448",3150844,"2025",401704815,20241118,"ORL","M. Wagner","C",0,12,4,7,0,2,1,1,1,5,6,0,0,0,1,2,1,9,"","401704815_3150844",275,15,18.3333333333333,12,20241023,0,20241118
"13478",3155526,"2025",401704814,20241118,"HOU","D. Brooks","SF",1,21,2,8,1,3,0,0,2,2,4,1,1,0,1,5,-3,5,"","401704814_3155526",464,15,30.9333333333333,21,20241023,0,20241118
"13579",3155535,"2025",401703388,20241115,"GS","K. Looney","F",0,13,2,4,0,0,2,4,3,4,7,3,0,0,1,2,4,6,"","401703388_3155535",175,11,15.9090909090909,13,20241023,0,20241115
"13655",3155942,"2025",401703389,20241115,"SAC","D. Sabonis","PF",1,40,10,15,0,3,3,3,2,10,12,4,0,3,4,1,-5,23,"","401703389_3155942",476,13,36.6153846153846,40,20241024,0,20241115
"13790",3157465,"2025",401704811,20241118,"MIA","D. Robinson","F",1,22,5,14,2,10,1,2,1,1,2,3,1,0,2,2,2,13,"","401704811_3157465",243,12,20.25,22,20241023,0,20241118
"13850",3893014,"2024",401654661,20240419,"SAC","S. Vezenkov","F",0,11,1,4,0,2,0,0,2,0,2,0,1,0,0,0,3,2,"","401654661_3893014",524,44,11.9090909090909,11,20231025,0,20240419
"13896",3893016,"2024",401585727,20240402,"SA","C. Osman","SF",1,18,4,7,2,4,0,0,0,3,3,1,0,0,0,1,2,10,"","401585727_3893016",1270,72,17.6388888888889,18,20231025,0,20240402
"14019",3899664,"2025",401704810,20241118,"DET","S. Fontecchio","F",0,15,2,4,2,4,0,0,0,2,2,0,0,1,2,1,7,6,"","401704810_3899664",266,14,19,15,20241023,0,20241118
"14045",3906665,"2025",401704804,20241117,"MEM","B. Clarke","PF",1,22,4,6,0,1,0,0,2,5,7,0,1,0,0,2,13,8,"","401704804_3906665",201,13,15.4615384615385,22,20241023,0,20241117
"14092",3906786,"2024",401585787,20240410,"ATL","D. Windler","SG",0,26,4,7,4,7,0,0,2,1,3,1,0,0,1,1,-20,12,"","401585787_3906786",108,17,6.35294117647059,26,20231025,0,20240410
"14099",3907387,"2025",401704806,20241117,"BKN","B. Simmons","PG",1,22,0,3,0,0,0,0,0,4,4,8,0,1,3,3,-3,0,"","401704806_3907387",243,10,24.3,22,20241023,0,20241117
"14165",3907497,"2025",401704635,20241023,"NO","D. Murray","SG",1,30,4,15,0,3,6,7,0,8,8,10,1,0,1,0,5,14,"","401704635_3907497",30,1,30,-1,20241023,1,20241023
"14243",3907498,"2025",401704805,20241117,"POR","M. Thybulle","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704805_3907498",NA,NA,-1,-1,20241023,0,20241117
"14365",3907822,"2025",401704810,20241118,"DET","M. Beasley","SG",0,30,8,19,5,14,0,0,3,1,4,2,1,0,0,2,-11,21,"","401704810_3907822",457,16,28.5625,30,20241023,0,20241118
"14414",3907823,"2025",401704817,20241118,"LAC","T. Mann","SG",0,23,4,10,2,6,0,0,1,4,5,6,2,0,0,2,10,10,"","401704817_3907823",324,15,21.6,23,20241023,0,20241118
"14543",3908336,"2025",401704812,20241118,"NY","M. Ryan","F",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,"","401704812_3908336",23,4,5.75,3,20241106,0,20241118
"14605",3908809,"2025",401703382,20241115,"CLE","D. Mitchell","SG",1,34,12,23,7,13,6,7,0,7,7,4,1,2,1,2,11,37,"","401703382_3908809",436,14,31.1428571428571,34,20241023,0,20241115
"14648",3908845,"2025",401704809,20241117,"UTAH","J. Collins","PF",1,31,5,6,0,0,3,3,0,8,8,2,2,0,3,1,-4,13,"","401704809_3908845",352,13,27.0769230769231,31,20241023,0,20241117
"14723",3911893,"2025",401704814,20241118,"HOU","J. McVeigh","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704814_3911893",NA,NA,3.6,5,20241106,0,20241118
"14725",3912339,"2024",401584736,20231030,"NO","K. Gates","F",0,7,0,4,0,2,0,0,0,1,1,0,0,0,0,0,-2,0,"","401584736_3912339",7,1,7,7,20231025,0,20231030
"14789",3912848,"2025",401704802,20241117,"CLE","D. Wade","PF",0,15,1,2,1,2,0,0,0,4,4,0,0,0,1,2,3,3,"","401704802_3912848",286,13,22,15,20241023,0,20241117
"14801",3913174,"2025",401704804,20241117,"MEM","L. Kennard","SG",0,26,3,5,2,3,0,1,0,3,3,4,0,0,1,1,9,8,"","401704804_3913174",121,6,20.1666666666667,26,20241106,0,20241117
"14874",3913176,"2025",401704797,20241116,"NO","B. Ingram","SF",1,38,11,23,3,5,7,9,1,3,4,8,3,1,7,3,0,32,"","401704797_3913176",469,14,33.5,38,20241023,0,20241116
"14998",3913180,"2025",401704816,20241118,"ATL","G. Mathews","SG",1,28,3,6,3,5,0,0,0,1,1,4,2,0,0,2,17,9,"","401704816_3913180",304,14,21.7142857142857,28,20241023,0,20241118
"15095",3913220,"2024",401658198,20240519,"NY","D. Jeffries","SG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658198_3913220",63,19,3.31578947368421,1,20231025,0,20240519
"15123",3914044,"2024",401585554,20240310,"WSH","L. Shamet","SG",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-9,0,"","401585554_3914044",727,46,15.804347826087,7,20231101,0,20240310
"15186",3914075,"2024",401585827,20240414,"LAC","X. Moon","PG",1,46,6,22,2,9,0,0,2,4,6,6,2,1,0,2,-7,14,"","401585827_3914075",119,14,8.5,46,20231127,0,20240414
"15233",3914283,"2024",401585825,20240414,"DET","C. Metu","PF",1,33,4,9,1,4,0,0,1,3,4,0,2,0,6,0,-20,9,"","401585825_3914283",859,51,16.843137254902,33,20231024,0,20240414
"15313",3914285,"2025",401704809,20241117,"UTAH","D. Eubanks","PF",0,17,3,4,0,0,2,2,0,1,1,0,0,0,1,0,2,8,"","401704809_3914285",138,10,13.8,17,20241023,0,20241117
"15430",3915195,"2025",401704806,20241117,"BKN","S. Milton","SG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"","401704806_3915195",106,11,9.63636363636364,1,20241023,0,20241117
"15503",3917376,"2025",401704796,20241116,"BOS","J. Brown","SG",1,43,8,16,2,7,9,10,2,4,6,7,0,1,3,5,2,27,"","401704796_3917376",368,10,36.8,43,20241022,0,20241116
"15596",3918423,"2024",401655120,20240427,"ORL","A. Schofield","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655120_3918423",NA,NA,3.65217391304348,4,20231104,0,20240427
"15627",3922230,"2025",401704814,20241118,"HOU","A. Holiday","G",0,9,2,3,1,2,0,0,0,1,1,2,0,0,0,0,11,5,"","401704814_3922230",73,8,9.125,9,20241023,0,20241118
"15715",3923250,"2025",401704800,20241117,"MIN","P. Dozier","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704800_3923250",NA,NA,3.75,4,20241022,0,20241117
"15742",3929325,"2024",401585355,20240207,"PHI","F. Korkmaz","SG",0,16,0,3,0,2,0,0,3,1,4,0,0,2,1,0,-5,0,"","401585355_3929325",300,35,8.57142857142857,16,20231026,0,20240207
"15812",3934672,"2025",401704812,20241118,"NY","J. Brunson","PG",1,30,9,15,5,9,3,3,0,1,1,11,1,0,0,1,26,26,"","401704812_3934672",479,14,34.2142857142857,30,20241022,0,20241118
"15905",3934673,"2025",401704800,20241117,"MIN","D. DiVincenzo","SG",0,26,5,11,5,10,0,0,0,1,1,3,0,0,0,2,10,15,"","401704800_3934673",359,14,25.6428571428571,26,20241022,0,20241117
"16015",3934719,"2025",401704812,20241118,"NY","O. Anunoby","SF",1,30,6,12,1,4,3,4,2,3,5,2,2,0,0,0,22,16,"","401704812_3934719",510,14,36.4285714285714,30,20241022,0,20241118
"16161",3934723,"2025",401704811,20241118,"MIA","T. Bryant","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704811_3934723",NA,NA,12.7142857142857,7,20241023,0,20241118
"16224",3936099,"2025",401704817,20241118,"LAC","D. Jones Jr.","SF",1,23,2,4,1,2,2,2,1,2,3,0,0,0,0,0,-5,7,"","401704817_3936099",388,15,25.8666666666667,23,20241023,0,20241118
"16281",3936296,"2025",401704701,20241101,"SAC","S. Labissiere","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704701_3936296",NA,NA,-1,-1,20241026,0,20241101
"16333",3936299,"2025",401704804,20241117,"DEN","J. Murray","PG",1,37,6,15,1,6,0,0,1,5,6,7,3,2,6,3,-3,13,"","401704804_3936299",327,9,36.3333333333333,37,20241024,0,20241117
"16378",3943606,"2024",401585826,20240414,"GS","J. Robinson","SG",0,5,2,2,0,0,1,1,0,0,0,0,1,0,0,0,7,5,"","401585826_3943606",82,22,3.72727272727273,5,20231030,0,20240414
"16483",3945274,"2025",401704798,20241116,"DAL","L. Doncic","PG",1,28,6,16,3,9,1,3,2,4,6,6,2,0,4,4,15,16,"","401704798_3945274",482,13,37.0769230769231,28,20241024,0,20241116
"16543",3947156,"2024",401658198,20240519,"NY","M. Diakite","F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658198_3947156",41,10,4.1,1,20240102,0,20240519
"16628",3948153,"2025",401704813,20241118,"TOR","C. Boucher","PF",0,18,2,4,0,2,0,0,1,6,7,0,0,3,0,0,-10,4,"","401704813_3948153",280,15,18.6666666666667,18,20241023,0,20241118
"16651",4017837,"2025",401704817,20241118,"LAC","I. Zubac","C",1,36,3,8,0,0,2,2,1,16,17,4,2,1,1,1,21,8,"","401704817_4017837",511,15,34.0666666666667,36,20241023,0,20241118
"16739",4017844,"2025",401704811,20241118,"PHI","G. Yabusele","F",0,10,1,3,0,1,1,2,0,4,4,1,0,0,0,1,-6,3,"","401704811_4017844",276,13,21.2307692307692,10,20241023,0,20241118
"16779",4065648,"2025",401704796,20241116,"BOS","J. Tatum","SF",1,42,7,19,5,12,5,5,0,11,11,9,0,0,2,3,1,24,"","401704796_4065648",509,14,36.3571428571429,42,20241022,0,20241116
"16875",4065649,"2024",401655083,20240425,"LAL","H. Giles III","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655083_4065649",NA,NA,4.5,2,20231025,0,20240425
"16918",4065652,"2024",401585815,20240414,"CHA","M. Bolden","C",1,30,7,10,0,1,0,0,4,4,8,2,1,4,1,1,5,14,"","401585815_4065652",123,10,12.3,30,20231117,0,20240414
"16945",4065653,"2024",401585821,20240414,"MEM","J. White","F",0,9,0,4,0,2,0,0,1,1,2,0,0,0,0,0,0,0,"","401585821_4065653",64,4,16,9,20240409,0,20240414
"16979",4065654,"2025",401704815,20241118,"ORL","J. Isaac","PF",0,20,3,6,0,2,1,2,2,1,3,0,1,3,0,3,4,7,"","401704815_4065654",194,12,16.1666666666667,20,20241023,0,20241118
"17081",4065656,"2024",401654658,20240417,"ATL","T. Forrest","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401654658_4065656",NA,NA,10.8684210526316,6,20231025,0,20240417
"17122",4065663,"2025",401704815,20241118,"PHX","J. Okogie","SF",0,25,3,5,2,2,3,4,2,3,5,2,2,2,1,3,-3,11,"","401704815_4065663",132,7,18.8571428571429,25,20241102,0,20241118
"17246",4065670,"2024",401585817,20240414,"TOR","B. Brown","SF",0,20,3,5,0,1,0,1,0,0,0,0,0,0,1,2,-16,6,"","401585817_4065670",1885,68,27.7205882352941,20,20231025,0,20240414
"17282",4065697,"2024",401585769,20240407,"BKN","D. Smith Jr.","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585769_4065697",NA,NA,18.9107142857143,4,20231025,0,20240407
"17389",4065731,"2025",401704804,20241117,"MEM","J. Huff","C",0,12,4,5,2,3,0,0,0,1,1,1,0,1,1,0,-5,10,"","401704804_4065731",203,14,14.5,12,20241023,0,20241117
"17408",4065732,"2025",401704816,20241118,"ATL","D. Hunter","SF",0,25,9,15,4,8,2,2,1,1,2,1,0,1,1,3,1,24,"","401704816_4065732",105,4,26.25,25,20241023,0,20241118
"17479",4065733,"2025",401704802,20241117,"CLE","T. Jerome","SG",1,32,9,15,4,7,2,2,0,2,2,8,0,0,2,0,14,24,"","401704802_4065733",262,15,17.4666666666667,32,20241023,0,20241117
"17556",4065778,"2024",401658228,20240515,"CLE","M. Strus","SG",1,45,3,10,3,7,3,3,0,7,7,9,0,0,1,4,-12,12,"","401658228_4065778",2676,82,32.6341463414634,45,20231025,0,20240515
"17623",4065804,"2025",401704796,20241116,"BOS","S. Hauser","SF",0,25,5,12,3,10,1,1,0,0,0,1,0,1,0,2,8,14,"","401704796_4065804",235,11,21.3636363636364,25,20241022,0,20241116
"17698",4066211,"2025",401704805,20241117,"POR","R. Williams III","C",0,25,6,6,0,0,2,2,3,5,8,2,1,1,3,0,20,14,"","401704805_4066211",78,4,19.5,25,20241023,0,20241117
"17720",4066218,"2025",401704802,20241117,"CHA","G. Williams","PF",1,35,5,9,2,4,3,3,3,6,9,3,1,0,1,3,-17,15,"","401704802_4066218",374,13,28.7692307692308,35,20241023,0,20241117
"17833",4066240,"2024",401657185,20240512,"DEN","B. Key","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401657185_4066240",NA,NA,3,1,20231024,0,20240512
"17914",4066259,"2025",401704816,20241118,"SAC","D. Fox","PG",1,39,11,23,3,6,3,4,0,5,5,7,1,0,4,2,2,28,"","401704816_4066259",561,15,37.4,39,20241024,0,20241118
"17951",4066261,"2025",401704811,20241118,"MIA","B. Adebayo","C",1,32,2,8,1,2,0,0,0,13,13,3,2,1,3,4,11,5,"","401704811_4066261",461,13,35.4615384615385,32,20241023,0,20241118
"18102",4066262,"2025",401704775,20241110,"SAC","M. Monk","SG",0,8,1,3,0,1,2,2,0,3,3,2,1,0,1,1,4,4,"","401704775_4066262",250,10,25,8,20241024,0,20241110
"18117",4066264,"2024",401585643,20240322,"MEM","W. Gabriel","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585643_4066264",NA,NA,16.2,14,20240308,0,20240322
"18155",4066268,"2025",401704805,20241117,"POR","D. Reath","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704805_4066268",NA,NA,4,8,20241023,0,20241117
"18248",4066269,"2024",401655083,20240425,"LAL","S. Mays","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655083_4066269",NA,NA,11.4210526315789,2,20231027,0,20240425
"18302",4066299,"2024",401585784,20240409,"PHX","U. Azubuike","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585784_4066299",NA,NA,7,4,20231024,0,20240409
"18360",4066317,"2025",401704817,20241118,"GS","L. Waters III","F",1,29,2,6,2,4,0,0,1,4,5,1,3,0,0,1,-4,6,"","401704817_4066317",164,11,14.9090909090909,29,20241023,0,20241118
"18416",4066320,"2025",401704804,20241117,"MEM","D. Bane","SG",1,29,5,12,1,7,0,0,1,10,11,7,0,1,2,1,14,11,"","401704804_4066320",188,7,26.8571428571429,29,20241023,0,20241117
"18487",4066328,"2025",401704802,20241117,"CLE","J. Allen","C",1,31,6,7,0,0,9,10,4,11,15,0,1,1,2,0,9,21,"","401704802_4066328",451,15,30.0666666666667,31,20241023,0,20241117
"18549",4066335,"2024",401585750,20240405,"TOR","K. Simmons","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585750_4066335",NA,NA,16.75,10,20240325,0,20240405
"18590",4066336,"2025",401704809,20241117,"UTAH","L. Markkanen","PF",1,39,6,12,4,8,2,4,2,8,10,1,1,0,2,3,-11,18,"","401704809_4066336",308,10,30.8,39,20241023,0,20241117
"18633",4066354,"2025",401704796,20241116,"BOS","P. Pritchard","PG",0,24,2,8,2,7,0,0,0,0,0,1,0,0,0,2,6,6,"","401704796_4066354",395,14,28.2142857142857,24,20241022,0,20241116
"18747",4066372,"2025",401704816,20241118,"SAC","K. Huerter","SG",1,39,4,15,1,10,0,0,0,5,5,3,3,0,2,3,-15,9,"","401704816_4066372",374,13,28.7692307692308,39,20241024,0,20241118
"18813",4066377,"2024",401585821,20240414,"MEM","Z. Simpson","G",0,23,4,8,0,1,0,0,0,1,1,3,0,0,0,1,-3,8,"","401585821_4066377",162,7,23.1428571428571,23,20240330,0,20240414
"18832",4066383,"2025",401704802,20241117,"CHA","M. Bridges","SF",1,27,7,15,4,8,1,1,1,7,8,8,2,1,0,2,-15,19,"","401704802_4066383",298,10,29.8,27,20241023,0,20241117
"18971",4066387,"2025",401704817,20241118,"LAC","A. Coffey","SG",0,29,3,8,2,6,7,8,2,3,5,1,0,1,2,4,-3,15,"","401704817_4066387",357,15,23.8,29,20241023,0,20241118
"19023",4066399,"2025",401704650,20241025,"UTAH","M. Potter","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704650_4066399",NA,NA,-1,-1,20241023,0,20241025
"19047",4066405,"2024",401585786,20240410,"MEM","L. Stevens","PF",1,37,4,13,2,5,6,6,2,4,6,3,1,4,1,2,7,16,"","401585786_4066405",560,37,15.1351351351351,37,20231025,0,20240410
"19156",4066410,"2024",401585814,20240414,"WSH","E. Omoruyi","F",0,23,11,17,4,6,0,0,1,1,2,5,0,0,0,1,7,26,"","401585814_4066410",392,42,9.33333333333333,23,20231025,0,20240414
