"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"2401",4023,"2025",401704813,20241118,"TOR","G. Temple","SF",0,11,1,2,1,1,0,0,0,3,3,3,2,1,0,3,9,3,"","401704813_4023",24,4,6,11,20241023,0,20241118
"2467",4032,"2024",401654658,20240417,"ATL","W. Matthews","SG",0,10,0,2,0,2,0,0,0,0,0,1,0,0,0,0,-7,0,"","401654658_4032",424,37,11.4594594594595,10,20231111,0,20240417
"2549",4249,"2024",401658194,20240518,"OKC","G. Hayward","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658194_4249",NA,NA,22.2931034482759,3,20231025,0,20240518
"2587",4251,"2025",401704811,20241118,"PHI","P. George","F",1,33,5,13,1,7,7,9,0,6,6,5,3,0,3,3,-17,18,"","401704811_4251",215,7,30.7142857142857,33,20241104,0,20241118
"2665",4305,"2024",401585373,20240209,"CHA","I. Smith","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585373_4305",NA,NA,17.2093023255814,16,20231104,0,20240209
"2758",4376,"2024",401585827,20240414,"HOU","B. Marjanovic","C",0,12,6,8,0,0,1,3,0,8,8,1,1,1,2,0,9,13,"","401585827_4376",71,13,5.46153846153846,12,20231025,0,20240414
"2797",6426,"2024",401585815,20240414,"CHA","D. Bertans","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585815_6426",NA,NA,16.4634146341463,22,20231025,0,20240414
"2891",6427,"2024",401658194,20240518,"OKC","B. Biyombo","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658194_6427",NA,NA,20.2564102564103,18,20231103,0,20240518
"2984",6429,"2025",401704811,20241118,"MIA","A. Burks","SG",0,19,3,8,1,6,0,0,1,5,6,3,0,0,0,0,27,7,"","401704811_6429",111,6,18.5,19,20241023,0,20241118
"3036",6430,"2025",401704811,20241118,"MIA","J. Butler","SF",1,34,8,12,1,1,13,13,5,5,10,5,1,0,0,2,29,30,"","401704811_6430",279,9,31,34,20241023,0,20241118
"3132",6440,"2025",401704810,20241118,"DET","T. Harris","PF",1,32,7,15,1,4,1,1,0,2,2,0,0,0,1,2,-21,16,"","401704810_6440",535,16,33.4375,32,20241023,0,20241118
"3281",6442,"2025",401704808,20241117,"DAL","K. Irving","PG",1,36,9,18,3,6,2,2,1,0,1,6,0,0,1,2,-4,23,"","401704808_6442",456,13,35.0769230769231,36,20241024,0,20241117
"3335",6443,"2025",401704811,20241118,"PHI","R. Jackson","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704811_6443",NA,NA,11.4,27,20241023,0,20241118
"3459",6446,"2025",401704815,20241118,"ORL","C. Joseph","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704815_6446",NA,NA,3.55555555555556,1,20241023,0,20241118
"3533",6450,"2024",401655095,20240426,"LAC","K. Leonard","SF",1,25,4,7,0,0,1,1,1,8,9,2,0,0,4,2,-4,9,"","401655095_6450",2401,71,33.8169014084507,25,20231025,0,20240426
"3628",6461,"2025",401704808,20241117,"DAL","M. Morris","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704808_6461",NA,NA,5,5,20241024,0,20241117
